num_requests_matched,cost,execution_time
200,0.04978866130113602,0.11811330216005445
400,0.11385045945644379,0.9729006490670145
600,0.17757245898246765,0.17794637195765972
800,0.24729421734809875,0.515673303976655
1000,0.3075443208217621,0.1950182570144534
1200,0.6020113825798035,0.3468853454105556
1400,0.6619744300842285,0.09820228395983577
1600,0.7340165972709656,0.12768784025684
1800,0.8030477166175842,0.11620018677785993
2000,0.8773634433746338,0.15618987940251827
2200,0.9446148872375488,0.16227134503424168
2400,1.0136489868164062,0.12387089198455215
2600,1.0912151336669922,0.4484603018499911
2800,1.172061562538147,0.2644645841792226
3000,1.2465617656707764,0.155047123786062
3200,1.33346426486969,0.27137561002746224
3400,1.4225012063980103,1.906028653960675
3600,1.5393387079238892,0.5532410619780421
3800,1.6313927173614502,0.3897139742039144
4000,1.7349038124084473,0.3902386869303882
4200,1.8589794635772705,7.4310532216914
4400,2.0018420219421387,5.97035306179896
4600,2.1317636966705322,6.701874987222254
4800,2.3195459842681885,7.633784520905465
5000,2.537816047668457,40.06336791208014
5200,2.744853973388672,4.030106976162642
5400,3.0172390937805176,10.995374226942658
5600,3.2388925552368164,5.550691365730017
5800,3.9877524375915527,25.217874482739717
6000,4.579746246337891,2.999263112898916
6200,5.211767196655273,4.427421682048589
6400,5.813673973083496,2.048856964800507
6600,6.341675758361816,3.919497236609459
6800,6.7635064125061035,5.052543852943927
7000,7.163325309753418,3.370831760112196
7200,8.014823913574219,5.075781813822687
7400,8.562256813049316,2.96151808090508
7600,9.408977508544922,13.175507327076048
7800,11.229833602905273,9.816577737685293
8000,12.335960388183594,2.2773205609992146
8200,13.09216022491455,1.76363778533414
8400,14.339924812316895,4.502247618045658
8600,14.991106033325195,2.9751496203243732
8800,16.005773544311523,7.710494031198323
9000,17.854408264160156,13.278975415974855
9200,19.657604217529297,15.943830328062177
9400,24.025108337402344,56.61532169301063
9600,31.03775978088379,104.84431758709252
9800,42.1419677734375,91.43209932884201
10000,63.33921781927347,95.89300833502784
