n,cost,execution_time
1,0.000600,0.000275
2,0.001110,0.000222
3,0.001251,0.000026
4,0.001568,0.000187
5,0.001868,0.000239
6,0.002168,0.000142
7,0.003090,0.000047
8,0.003313,0.000025
9,0.003913,0.000147
10,0.004113,0.000022
11,0.004396,0.000024
12,0.004712,0.000021
13,0.004936,0.000022
14,0.005036,0.000022
15,0.005236,0.000022
16,0.005774,0.000179
17,0.005874,0.000022
18,0.006098,0.000022
19,0.006239,0.000021
20,0.006439,0.000023
21,0.006639,0.000021
22,0.007757,0.000048
23,0.008747,0.000025
24,0.009286,0.000185
25,0.009286,0.000021
26,0.009486,0.000024
27,0.009586,0.000023
28,0.010086,0.000042
29,0.010186,0.000197
30,0.010286,0.000023
31,0.010386,0.000025
32,0.010527,0.000022
33,0.011066,0.000226
34,0.011289,0.000144
35,0.011389,0.000026
36,0.011531,0.000150
37,0.011631,0.000024
38,0.011854,0.000023
39,0.011854,0.000019
40,0.012302,0.000184
41,0.012402,0.000020
42,0.012502,0.000021
43,0.013085,0.000044
44,0.013185,0.000023
45,0.013285,0.000022
46,0.013685,0.000052
47,0.013785,0.000023
48,0.014008,0.000061
49,0.014008,0.000019
50,0.014108,0.000026
51,0.014208,0.000025
52,0.014350,0.000025
53,0.014450,0.000021
54,0.014766,0.000107
55,0.014990,0.000021
56,0.015290,0.000110
57,0.015606,0.000277
58,0.015829,0.000021
59,0.015971,0.000020
60,0.016865,0.000166
61,0.017375,0.000128
62,0.017475,0.000024
63,0.017791,0.000022
64,0.017791,0.000190
65,0.017933,0.000021
66,0.018345,0.000254
67,0.019052,0.000138
68,0.019152,0.000021
69,0.019152,0.000020
70,0.019662,0.000270
71,0.020074,0.000177
72,0.020522,0.000223
73,0.021032,0.000025
74,0.021132,0.000023
75,0.021544,0.000236
76,0.022466,0.000033
77,0.022766,0.000083
78,0.022766,0.000017
79,0.022866,0.000023
80,0.023089,0.000023
81,0.023450,0.000019
82,0.023591,0.000205
83,0.023691,0.000024
84,0.023791,0.000023
85,0.024074,0.000155
86,0.024522,0.000242
87,0.024622,0.000020
88,0.024722,0.000022
89,0.024921,0.000020
90,0.025282,0.000110
91,0.025565,0.000023
92,0.026012,0.000060
93,0.026328,0.000188
94,0.026911,0.000058
95,0.027135,0.000020
96,0.027547,0.000237
97,0.027647,0.000021
98,0.027647,0.000019
99,0.027930,0.000157
100,0.028168,0.000180
101,0.028368,0.000024
102,0.028509,0.000172
103,0.028809,0.000023
104,0.029033,0.000025
105,0.029033,0.000019
106,0.029033,0.000019
107,0.029433,0.000277
108,0.029474,0.000034
109,0.029674,0.000264
110,0.029874,0.000022
111,0.030384,0.000134
112,0.030984,0.000203
113,0.031431,0.000045
114,0.031792,0.000067
115,0.032192,0.000066
116,0.032333,0.000022
117,0.032649,0.000276
118,0.032750,0.000022
119,0.032949,0.000026
120,0.032949,0.000019
121,0.032949,0.000018
122,0.033149,0.000140
123,0.033291,0.000024
124,0.033738,0.000098
125,0.033962,0.000022
126,0.033962,0.000017
127,0.034185,0.000024
128,0.034185,0.000018
129,0.034385,0.000021
130,0.034609,0.000020
131,0.035509,0.000077
132,0.035609,0.000024
133,0.036056,0.000068
134,0.036056,0.000017
135,0.036280,0.000021
136,0.036503,0.000021
137,0.037585,0.000033
138,0.037785,0.000032
139,0.037885,0.000023
140,0.037885,0.000019
141,0.038109,0.000021
142,0.038425,0.000047
143,0.038525,0.000021
144,0.038625,0.000023
145,0.038908,0.000021
146,0.039615,0.000320
147,0.039756,0.000023
148,0.040039,0.000020
149,0.040578,0.000143
150,0.041078,0.000171
151,0.041490,0.000206
152,0.041850,0.000181
153,0.042151,0.000021
154,0.042292,0.000023
155,0.042739,0.000032
156,0.042963,0.000023
157,0.043387,0.000053
158,0.043528,0.000030
159,0.043628,0.000024
160,0.044028,0.000097
161,0.044128,0.000102
162,0.045333,0.000027
163,0.045474,0.000024
164,0.045921,0.000152
165,0.046121,0.000192
166,0.046263,0.000022
167,0.046404,0.000022
168,0.047522,0.000100
169,0.047722,0.000213
170,0.048122,0.000091
171,0.048622,0.000213
172,0.048922,0.000021
173,0.049146,0.000021
174,0.049146,0.000018
175,0.049907,0.000033
176,0.050355,0.000101
177,0.050578,0.000022
178,0.050878,0.000270
179,0.052299,0.000100
180,0.052660,0.000240
181,0.052920,0.000044
182,0.053120,0.000021
183,0.053262,0.000022
184,0.053578,0.000154
185,0.054178,0.000038
186,0.054178,0.000020
187,0.054461,0.000061
188,0.054873,0.000208
189,0.054973,0.000026
190,0.055073,0.000023
191,0.055854,0.000285
192,0.056215,0.000025
193,0.056315,0.000023
194,0.056315,0.000020
195,0.056762,0.000154
196,0.057616,0.000090
197,0.058565,0.000269
198,0.058765,0.000023
199,0.058989,0.000050
200,0.058989,0.000019
201,0.059089,0.000022
202,0.059371,0.000020
203,0.059471,0.000023
204,0.059595,0.000281
205,0.059878,0.000023
206,0.060388,0.000340
207,0.060488,0.000019
208,0.060711,0.000240
209,0.060711,0.000019
210,0.060853,0.000022
211,0.061169,0.000022
212,0.061169,0.000020
213,0.061752,0.000077
214,0.061852,0.000022
215,0.062213,0.000326
216,0.062354,0.000022
217,0.062766,0.000256
218,0.062908,0.000022
219,0.063131,0.000024
220,0.063355,0.000019
221,0.063671,0.000020
222,0.063771,0.000035
223,0.064371,0.000138
224,0.064732,0.000310
225,0.064955,0.000300
226,0.065877,0.000034
227,0.066461,0.000051
228,0.066560,0.000024
229,0.068396,0.000025
230,0.068496,0.000021
231,0.068596,0.000022
232,0.068696,0.000026
233,0.069121,0.000115
234,0.069262,0.000021
235,0.069631,0.000263
236,0.069731,0.000023
237,0.069831,0.000023
238,0.070131,0.000147
239,0.070273,0.000019
240,0.070473,0.000022
241,0.070573,0.000023
242,0.070673,0.000023
243,0.070773,0.000021
244,0.070973,0.000020
245,0.071073,0.000022
246,0.071573,0.000158
247,0.071714,0.000020
248,0.071997,0.000149
249,0.072982,0.000034
250,0.073492,0.000185
251,0.073852,0.000386
252,0.074076,0.000378
253,0.074586,0.000270
254,0.074686,0.000020
255,0.074686,0.000019
256,0.075086,0.000044
257,0.075186,0.000024
258,0.075586,0.000413
259,0.076010,0.000106
260,0.076310,0.000177
261,0.076310,0.000020
262,0.076310,0.000019
263,0.076820,0.000501
264,0.077244,0.000022
265,0.077386,0.000185
266,0.077702,0.000216
267,0.078018,0.000019
268,0.078018,0.000017
269,0.078118,0.000025
270,0.078543,0.000167
271,0.079543,0.000031
272,0.079684,0.000020
273,0.079884,0.000526
274,0.080184,0.000249
275,0.080408,0.000022
276,0.080607,0.000023
277,0.080924,0.000037
278,0.081065,0.000022
279,0.081706,0.000354
280,0.082022,0.000022
281,0.082434,0.000038
282,0.082434,0.000018
283,0.082834,0.000029
284,0.082934,0.000022
285,0.083250,0.000022
286,0.083567,0.000149
287,0.083849,0.000218
288,0.085693,0.000025
289,0.085693,0.000019
290,0.086093,0.000066
291,0.086293,0.000020
292,0.086493,0.000316
293,0.086993,0.000540
294,0.087093,0.000021
295,0.087193,0.000216
296,0.087618,0.000316
297,0.087934,0.000429
298,0.088358,0.000035
299,0.088358,0.000018
300,0.088719,0.000021
301,0.089131,0.000271
302,0.089231,0.000024
303,0.089331,0.000023
304,0.089431,0.000021
305,0.089831,0.000180
306,0.090031,0.000332
307,0.090443,0.000292
308,0.090543,0.000335
309,0.090685,0.000262
310,0.090908,0.000158
311,0.091132,0.000023
312,0.091232,0.000021
313,0.092175,0.000029
314,0.092491,0.000107
315,0.092904,0.000120
316,0.093264,0.000187
317,0.093364,0.000019
318,0.093464,0.000023
319,0.093747,0.000028
320,0.093847,0.000024
321,0.094071,0.000019
322,0.094371,0.000023
323,0.094594,0.000370
324,0.094911,0.000396
325,0.095134,0.000021
326,0.101673,0.000194
327,0.102282,0.000063
328,0.102423,0.000021
329,0.102647,0.000022
330,0.102963,0.000138
331,0.103186,0.000022
332,0.103469,0.000560
333,0.103469,0.000019
334,0.104454,0.000103
335,0.104554,0.000027
336,0.104778,0.000177
337,0.106210,0.000028
338,0.106310,0.000020
339,0.107071,0.000225
340,0.107371,0.000021
341,0.107687,0.000385
342,0.107829,0.000022
343,0.108029,0.000023
344,0.108429,0.000475
345,0.108829,0.000604
346,0.109500,0.000340
347,0.115986,0.000391
348,0.116286,0.000023
349,0.116586,0.000039
350,0.117307,0.000138
351,0.117890,0.000212
352,0.117990,0.000222
353,0.118350,0.000132
354,0.119413,0.000045
355,0.120013,0.000680
356,0.121294,0.000036
357,0.121518,0.000020
358,0.122028,0.000121
359,0.122344,0.000038
360,0.122485,0.000257
361,0.122709,0.000024
362,0.123009,0.000022
363,0.123232,0.000028
364,0.123742,0.000130
365,0.124242,0.000182
366,0.125049,0.000107
367,0.125190,0.000021
368,0.125473,0.000304
369,0.125696,0.000264
370,0.126196,0.000038
371,0.126296,0.000037
372,0.126296,0.000018
373,0.126520,0.000021
374,0.126920,0.000272
375,0.127236,0.000410
376,0.127597,0.000210
377,0.128801,0.000046
378,0.129367,0.000111
379,0.130167,0.000044
380,0.130567,0.000289
381,0.130927,0.000185
382,0.130927,0.000021
383,0.131027,0.000025
384,0.131169,0.000028
385,0.131839,0.000178
386,0.131939,0.000022
387,0.132449,0.000451
388,0.132673,0.000334
389,0.133034,0.000123
390,0.133392,0.000810
391,0.133534,0.000253
392,0.133946,0.000559
393,0.134146,0.000021
394,0.134246,0.000022
395,0.134974,0.000073
396,0.136477,0.000219
397,0.136701,0.000022
398,0.138282,0.000147
399,0.138706,0.000172
400,0.139106,0.000252
401,0.139206,0.000025
402,0.139619,0.000319
403,0.140031,0.000390
404,0.144955,0.000025
405,0.145465,0.000647
406,0.147376,0.000025
407,0.147517,0.000021
408,0.147929,0.000827
409,0.148290,0.000191
410,0.148650,0.000108
411,0.149150,0.000178
412,0.149292,0.000234
413,0.149516,0.000101
414,0.149739,0.000021
415,0.149939,0.000021
416,0.150547,0.000297
417,0.155651,0.000380
418,0.155793,0.000021
419,0.156093,0.000498
420,0.156631,0.000194
421,0.157044,0.000307
422,0.157676,0.000479
423,0.157776,0.000029
424,0.158137,0.000060
425,0.158337,0.000021
426,0.158846,0.000454
427,0.159294,0.000030
428,0.160605,0.000265
429,0.160605,0.000019
430,0.161017,0.000086
431,0.161241,0.000020
432,0.161382,0.000023
433,0.161382,0.000016
434,0.161830,0.000131
435,0.162470,0.000254
436,0.162570,0.000023
437,0.162711,0.000033
438,0.163159,0.000283
439,0.163519,0.000291
440,0.163880,0.000061
441,0.164080,0.000021
442,0.164080,0.000017
443,0.164580,0.000369
444,0.164680,0.000020
445,0.170539,0.000259
446,0.170639,0.000025
447,0.170939,0.000020
448,0.171439,0.000045
449,0.171580,0.000021
450,0.171722,0.000021
451,0.171822,0.000021
452,0.171822,0.000018
453,0.171963,0.000021
454,0.172324,0.000020
455,0.172547,0.000547
456,0.172994,0.000210
457,0.172994,0.000016
458,0.173094,0.000023
459,0.173194,0.000022
460,0.173607,0.000276
461,0.174278,0.000273
462,0.174419,0.000276
463,0.175051,0.000090
464,0.175151,0.000021
465,0.175375,0.000021
466,0.175599,0.000238
467,0.176109,0.000085
468,0.176425,0.000020
469,0.177025,0.000739
470,0.177248,0.000369
471,0.177609,0.000367
472,0.177909,0.000019
473,0.177909,0.000018
474,0.178009,0.000020
475,0.178150,0.000028
476,0.178150,0.000017
477,0.180150,0.000105
478,0.180650,0.000360
479,0.180850,0.000217
480,0.180950,0.000293
481,0.181050,0.000024
482,0.183112,0.000025
483,0.183395,0.000071
484,0.183695,0.000220
485,0.184107,0.000156
486,0.184407,0.000024
487,0.184807,0.000392
488,0.184907,0.000027
489,0.185107,0.000020
490,0.185249,0.000023
491,0.185787,0.000026
492,0.186211,0.000289
493,0.187133,0.000029
494,0.187633,0.000114
495,0.187994,0.001433
496,0.188504,0.000107
497,0.188864,0.000546
498,0.188864,0.000017
499,0.189374,0.000073
500,0.189474,0.000022
501,0.189574,0.000021
502,0.189574,0.000018
503,0.189774,0.000021
504,0.190174,0.000434
505,0.190216,0.000045
506,0.190754,0.000095
507,0.190854,0.000021
508,0.190854,0.000016
509,0.191054,0.000022
510,0.191054,0.000018
511,0.191196,0.000356
512,0.191296,0.000025
513,0.191437,0.000020
514,0.191798,0.000147
515,0.191998,0.000050
516,0.192098,0.000021
517,0.192239,0.000021
518,0.192522,0.000433
519,0.192745,0.000643
520,0.193284,0.000364
521,0.193731,0.000164
522,0.193931,0.000023
523,0.194390,0.000247
524,0.194490,0.000021
525,0.194773,0.000136
526,0.194973,0.000020
527,0.195605,0.000390
528,0.195829,0.000432
529,0.196111,0.000021
530,0.196335,0.000036
531,0.196435,0.000023
532,0.197289,0.000637
533,0.197489,0.000022
534,0.197850,0.000274
535,0.198133,0.000211
536,0.198533,0.000162
537,0.198674,0.000022
538,0.198816,0.000267
539,0.198957,0.000020
540,0.198957,0.000019
541,0.199467,0.000144
542,0.199667,0.000022
543,0.202369,0.000031
544,0.202769,0.000978
545,0.202769,0.000018
546,0.203352,0.000130
547,0.203576,0.000499
548,0.203717,0.000021
549,0.204317,0.000110
550,0.204741,0.000124
551,0.204841,0.000027
552,0.206045,0.000051
553,0.206245,0.000021
554,0.206445,0.000021
555,0.206806,0.000087
556,0.207510,0.000135
557,0.208174,0.000261
558,0.208374,0.000021
559,0.208674,0.000022
560,0.209174,0.000106
561,0.209621,0.000107
562,0.209937,0.000724
563,0.210161,0.000022
564,0.210661,0.000152
565,0.211467,0.000103
566,0.211567,0.000022
567,0.211791,0.000021
568,0.212107,0.001055
569,0.212617,0.000044
570,0.212840,0.000022
571,0.213123,0.000020
572,0.213830,0.000217
573,0.214064,0.000121
574,0.214205,0.000251
575,0.214477,0.000547
576,0.214577,0.000468
577,0.214800,0.000022
578,0.215000,0.000024
579,0.215600,0.000238
580,0.215961,0.000188
581,0.216102,0.000020
582,0.216743,0.000286
583,0.216743,0.000019
584,0.217043,0.000353
585,0.217581,0.000171
586,0.217681,0.000022
587,0.217905,0.000510
588,0.218046,0.000181
589,0.218146,0.000022
590,0.218462,0.000266
591,0.218604,0.000071
592,0.218604,0.000019
593,0.219212,0.000233
594,0.219436,0.000023
595,0.219619,0.000158
596,0.219901,0.000065
597,0.220510,0.000041
598,0.220793,0.000809
599,0.220893,0.000023
600,0.221305,0.000303
601,0.221717,0.000381
602,0.221859,0.000019
603,0.222082,0.000020
604,0.222306,0.000022
605,0.222406,0.000021
606,0.222506,0.000200
607,0.222866,0.000216
608,0.223066,0.000022
609,0.223166,0.000023
610,0.223308,0.000021
611,0.223408,0.000020
612,0.223508,0.000023
613,0.223791,0.000019
614,0.224639,0.000306
615,0.224639,0.000017
616,0.224863,0.000021
617,0.225310,0.000225
618,0.225451,0.000024
619,0.225551,0.000021
620,0.226051,0.000262
621,0.226151,0.000024
622,0.226251,0.000020
623,0.226568,0.000418
624,0.226968,0.000175
625,0.227250,0.000021
626,0.227859,0.000248
627,0.228082,0.000024
628,0.228789,0.000458
629,0.229013,0.000020
630,0.229237,0.000023
631,0.229378,0.000021
632,0.229520,0.000753
633,0.229944,0.000392
634,0.229944,0.000020
635,0.229944,0.000018
636,0.230167,0.000022
637,0.230895,0.000116
638,0.231037,0.000594
639,0.231037,0.000018
640,0.231178,0.000020
641,0.231557,0.000781
642,0.232067,0.000601
643,0.232267,0.000019
644,0.232267,0.000018
645,0.232367,0.000021
646,0.232815,0.000110
647,0.232956,0.000026
648,0.233272,0.000191
649,0.233472,0.000021
650,0.233788,0.000183
651,0.233788,0.000018
652,0.234149,0.000160
653,0.234149,0.000019
654,0.234561,0.000045
655,0.234661,0.000022
656,0.234861,0.000019
657,0.235085,0.000021
658,0.235209,0.000656
659,0.235432,0.000290
660,0.235532,0.000024
661,0.235893,0.000019
662,0.236093,0.000020
663,0.236193,0.000021
664,0.236193,0.000018
665,0.236293,0.000021
666,0.236793,0.000321
667,0.237016,0.000021
668,0.237116,0.000025
669,0.237340,0.000021
670,0.237564,0.000022
671,0.237787,0.000023
672,0.242691,0.000142
673,0.250349,0.000106
674,0.250859,0.000507
675,0.251082,0.000057
676,0.251592,0.000038
677,0.251692,0.000021
678,0.252140,0.000176
679,0.253040,0.000158
680,0.253040,0.000018
681,0.253263,0.000022
682,0.253463,0.000019
683,0.253875,0.000085
684,0.254017,0.000178
685,0.254117,0.000024
686,0.254725,0.000122
687,0.261645,0.000045
688,0.263067,0.000041
689,0.263367,0.000344
690,0.263467,0.000021
691,0.266949,0.000027
692,0.267549,0.000356
693,0.268069,0.000058
694,0.268293,0.000020
695,0.268393,0.000022
696,0.269025,0.000634
697,0.270496,0.000087
698,0.270856,0.000030
699,0.271217,0.000022
700,0.271533,0.000023
701,0.271945,0.000246
702,0.271945,0.000018
703,0.272366,0.000425
704,0.272590,0.000021
705,0.273090,0.000512
706,0.273290,0.000166
707,0.273514,0.000600
708,0.273737,0.000021
709,0.273929,0.000267
710,0.274070,0.000022
711,0.274070,0.000018
712,0.275816,0.000062
713,0.276133,0.000761
714,0.275965,0.000118
715,0.276065,0.000411
716,0.276265,0.000022
717,0.276581,0.000051
718,0.276723,0.000020
719,0.276946,0.000097
720,0.277146,0.000021
721,0.277685,0.000197
722,0.277908,0.001674
723,0.278269,0.000021
724,0.278585,0.000021
725,0.278885,0.000022
726,0.279009,0.000138
727,0.279009,0.000019
728,0.279574,0.000037
729,0.279674,0.000019
730,0.281236,0.000034
731,0.281378,0.000021
732,0.281378,0.000017
733,0.281878,0.000129
734,0.282101,0.000336
735,0.283045,0.000216
736,0.284275,0.000083
737,0.284499,0.000022
738,0.284599,0.000020
739,0.284699,0.000023
740,0.285282,0.000235
741,0.285282,0.000018
742,0.285482,0.000025
743,0.285619,0.000032
744,0.286219,0.000161
745,0.286360,0.000024
746,0.286773,0.000140
747,0.287133,0.000510
748,0.287275,0.000023
749,0.289470,0.000028
750,0.289831,0.000057
751,0.290031,0.000533
752,0.290131,0.000035
753,0.290272,0.000024
754,0.290272,0.000018
755,0.290272,0.000018
756,0.290472,0.000021
757,0.290696,0.000020
758,0.290665,0.000237
759,0.290865,0.000022
760,0.291181,0.000943
761,0.291681,0.000420
762,0.291881,0.000021
763,0.292281,0.001459
764,0.292381,0.000022
765,0.292522,0.000322
766,0.293032,0.000412
767,0.293174,0.000022
768,0.293374,0.000189
