n,cost,run_time
215,0.076525,5.82e-06
216,0.0774194,5.429e-06
217,0.0816832,4.46e-06
218,0.0818832,4.79e-06
219,0.0821994,4.77e-06
220,0.0828319,4.66e-06
221,0.0831147,4.73e-06
222,0.0832561,5.03e-06
223,0.0832561,4.64e-06
224,0.0834798,4.38e-06
225,0.0835798,4.84e-06
226,0.0835798,5.18e-06
227,0.0838798,4.74e-06
228,0.084327,4.78e-06
229,0.084427,6.01e-06
230,0.0850978,4.63e-06
231,0.0853214,4.52e-06
232,0.0853214,4.74e-06
233,0.0855214,4.68e-06
234,0.0859686,4.95e-06
235,0.0861686,4.79e-06
236,0.0864848,4.619e-06
237,0.0864848,4.92e-06
238,0.0867677,5.08e-06
239,0.0873334,5.36e-06
240,0.0879165,4.58e-06
241,0.0881401,4.91e-06
242,0.0881401,4.73e-06
243,0.0896632,5.27e-06
244,0.0899632,5.18e-06
245,0.0903238,4.82e-06
246,0.0910854,4.73e-06
247,0.0913854,4.75e-06
248,0.0917854,4.79e-06
249,0.0923685,4.62e-06
250,0.0926685,4.78e-06
251,0.0928921,4.72e-06
252,0.0929921,4.28e-06
253,0.0931335,4.65e-06
254,0.0934335,4.5e-06
255,0.0938807,4.86e-06
256,0.0944807,4.62e-06
257,0.0949807,5.05e-06
258,0.0950807,4.84e-06
259,0.0951807,5.08e-06
260,0.0952807,4.88e-06
261,0.0956412,4.67e-06
262,0.0957412,4.63e-06
263,0.0970219,4.51e-06
264,0.0976543,4.6e-06
265,0.0980149,4.75e-06
266,0.0985149,4.76e-06
267,0.0993395,4.66e-06
268,0.0993395,5.069e-06
269,0.0993395,5.04e-06
270,0.0994809,4.64e-06
271,0.100019,4.619e-06
272,0.100336,4.81e-06
273,0.102233,4.7e-06
274,0.102772,4.84e-06
275,0.102995,4.8e-06
276,0.103195,4.88e-06
277,0.103337,4.96e-06
278,0.104143,4.8e-06
279,0.104243,6.231e-06
280,0.104243,4.92e-06
281,0.104343,4.6e-06
282,0.104566,4.49e-06
283,0.104708,4.44e-06
284,0.105348,4.629e-06
285,0.105572,5.07e-06
286,0.105672,4.97e-06
287,0.106032,4.68e-06
288,0.106393,4.75e-06
289,0.106676,4.739e-06
290,0.106776,4.819e-06
291,0.108479,4.62e-06
292,0.10862,4.87e-06
293,0.108903,5.31e-06
294,0.108903,4.73e-06
295,0.10961,4.77e-06
296,0.10981,4.689e-06
297,0.110034,4.82e-06
298,0.110481,5.419e-06
299,0.110481,5.489e-06
300,0.110581,4.45e-06
301,0.110781,4.65e-06
302,0.111081,4.79e-06
303,0.111304,4.56e-06
304,0.111504,5.09e-06
305,0.112713,4.25e-06
306,0.112813,4.49e-06
307,0.113594,5.7e-06
308,0.113794,4.91e-06
309,0.114017,4.6e-06
310,0.114872,5.09e-06
311,0.114972,4.771e-06
312,0.115396,4.64e-06
313,0.115896,4.46e-06
314,0.11612,4.939e-06
315,0.11622,4.78e-06
316,0.116361,5.009e-06
317,0.116461,5.14e-06
318,0.117383,4.639e-06
319,0.120267,5.79e-06
320,0.120833,5.13e-06
321,0.121057,4.729e-06
322,0.121469,5.649e-06
323,0.12225,4.709e-06
324,0.12235,5.06e-06
325,0.122797,4.829e-06
326,0.123114,4.739e-06
327,0.123337,4.63e-06
328,0.123537,4.69e-06
329,0.124076,4.86e-06
330,0.124176,5.12e-06
331,0.124676,4.52e-06
332,0.125176,4.99e-06
333,0.125176,4.81e-06
334,0.125376,4.68e-06
335,0.125476,4.93e-06
336,0.125576,5.711e-06
337,0.126216,4.679e-06
338,0.126416,4.68e-06
339,0.126816,4.75e-06
340,0.127622,4.84e-06
341,0.127846,4.79e-06
342,0.128046,4.87e-06
343,0.128584,4.51e-06
344,0.129589,4.52e-06
345,0.129789,4.96e-06
346,0.129889,4.88e-06
347,0.131205,4.6e-06
348,0.131346,4.84e-06
349,0.13157,4.74e-06
350,0.13167,5.629e-06
351,0.13177,4.66e-06
352,0.132308,5.13e-06
353,0.132408,4.64e-06
354,0.132691,4.87e-06
355,0.135099,4.489e-06
356,0.135199,4.97e-06
357,0.136499,4.61e-06
358,0.136947,4.63e-06
359,0.137047,5.3e-06
360,0.137247,4.69e-06
361,0.137347,5.06e-06
362,0.138331,5.179e-06
363,0.138473,4.83e-06
364,0.138473,6.24e-06
365,0.138696,4.68e-06
366,0.139551,5.951e-06
367,0.140258,4.56e-06
368,0.140824,5.19e-06
369,0.141224,4.86e-06
370,0.141365,5.07e-06
371,0.144348,6.41e-06
372,0.144548,4.589e-06
373,0.144948,5.43e-06
374,0.14509,4.86e-06
375,0.145231,4.85e-06
376,0.145952,4.75e-06
377,0.147439,4.77e-06
378,0.147886,5.02e-06
379,0.148186,5.92e-06
380,0.148893,5.92e-06
381,0.151003,5.75e-06
382,0.151503,4.84e-06
383,0.152013,4.7e-06
384,0.152213,5.26e-06
385,0.152883,4.7e-06
386,0.153244,5.14e-06
387,0.153812,1.057e-05
388,0.154036,4.96e-06
389,0.154483,4.7e-06
390,0.154583,4.86e-06
391,0.154806,4.84e-06
392,0.155006,4.949e-06
393,0.155006,4.93e-06
394,0.155006,6.259e-06
395,0.155106,4.75e-06
396,0.155206,4.79e-06
397,0.156606,4.94e-06
398,0.156606,4.97e-06
399,0.156806,4.69e-06
400,0.157924,5.23e-06
401,0.158148,4.67e-06
402,0.158248,4.65e-06
403,0.159448,4.7e-06
404,0.16021,5.02e-06
405,0.161195,4.73e-06
406,0.161555,4.84e-06
407,0.161696,4.88e-06
408,0.163917,5.871e-06
409,0.163917,5.11e-06
410,0.16414,5.06e-06
411,0.16414,5e-06
412,0.16513,5.31e-06
413,0.165578,4.85e-06
414,0.165878,5.37e-06
415,0.166678,4.68e-06
416,0.167078,4.69e-06
417,0.167219,5.36e-06
418,0.167319,4.94e-06
419,0.16746,5.26e-06
420,0.167684,4.86e-06
421,0.168544,4.54e-06
422,0.168544,6.18e-06
423,0.168768,4.729e-06
424,0.168768,4.58e-06
425,0.169268,4.59e-06
426,0.169368,4.959e-06
427,0.169568,4.87e-06
428,0.171196,4.89e-06
429,0.171702,9.949e-06
430,0.171902,5.14e-06
431,0.172485,4.49e-06
432,0.173485,5.809e-06
433,0.174125,4.98e-06
434,0.174225,5.2e-06
435,0.174225,4.6e-06
436,0.174225,4.951e-06
437,0.174542,6.38e-06
438,0.174765,4.95e-06
439,0.175275,5.04e-06
440,0.175417,5.139e-06
441,0.175558,4.94e-06
442,0.175699,4.99e-06
443,0.176124,4.98e-06
444,0.176905,5.419e-06
445,0.177005,4.97e-06
446,0.177105,5.3e-06
447,0.177713,4.88e-06
448,0.177854,4.71e-06
449,0.178463,4.92e-06
450,0.179001,4.97e-06
451,0.179201,6.47e-06
452,0.179701,5.16e-06
453,0.180334,4.63e-06
454,0.180734,5.52e-06
455,0.182523,6.21e-06
456,0.183444,4.74e-06
457,0.183892,5.79e-06
458,0.184835,4.869e-06
459,0.184835,4.809e-06
460,0.185151,4.62e-06
461,0.185651,4.5e-06
462,0.186064,5.1e-06
463,0.186064,5.3e-06
464,0.186287,5.14e-06
465,0.186603,6.059e-06
466,0.18835,6.18e-06
467,0.188633,4.839e-06
468,0.188856,4.97e-06
469,0.189223,1.099e-05
470,0.189364,5.28e-06
471,0.189788,4.5e-06
472,0.19051,4.9e-06
473,0.19061,5.06e-06
474,0.19081,5.42e-06
475,0.190951,5.28e-06
476,0.191251,4.76e-06
477,0.191392,4.86e-06
478,0.191616,5.25e-06
479,0.191757,7.17e-06
480,0.194982,4.83e-06
481,0.194982,5.31e-06
482,0.195482,4.89e-06
483,0.195582,5.13e-06
484,0.199026,4.62e-06
485,0.199126,5.07e-06
486,0.199126,5.02e-06
487,0.199573,4.82e-06
488,0.199573,5.2e-06
489,0.200373,5.22e-06
490,0.200734,4.76e-06
491,0.200875,5e-06
492,0.202578,6.4e-06
493,0.203088,4.74e-06
494,0.203288,6.36e-06
495,0.203512,5.511e-06
496,0.204406,4.819e-06
497,0.204506,5.07e-06
498,0.204867,4.7e-06
499,0.205227,4.66e-06
500,0.205227,5.54e-06
501,0.20693,4.87e-06
502,0.207291,5.03e-06
503,0.208019,6.07e-06
504,0.208519,4.82e-06
505,0.209085,7.68e-06
506,0.209085,5.14e-06
507,0.209335,9.72e-06
508,0.209976,5.71e-06
509,0.210068,1.1279e-05
