n,cost,execution_time
1,0.000447,0.000217
2,0.000547,0.000035
3,0.000830,0.000023
4,0.000930,0.000024
5,0.001538,0.000032
6,0.001638,0.000022
7,0.001738,0.000099
8,0.002248,0.000102
9,0.002472,0.000190
10,0.003112,0.000148
11,0.003112,0.000017
12,0.003893,0.000100
13,0.004254,0.000049
14,0.004354,0.000022
15,0.005435,0.000035
16,0.005435,0.000019
17,0.005735,0.000162
18,0.006096,0.000224
19,0.006457,0.000153
20,0.006457,0.000019
21,0.006598,0.000022
22,0.006822,0.000112
23,0.006922,0.000020
24,0.007145,0.000021
25,0.007287,0.000023
26,0.007487,0.000023
27,0.007769,0.000098
28,0.007869,0.000021
29,0.008093,0.000111
30,0.008376,0.000022
31,0.008788,0.000171
32,0.008888,0.000021
33,0.009427,0.000150
34,0.009627,0.000192
35,0.009987,0.000147
36,0.010129,0.000108
37,0.010445,0.000057
38,0.011465,0.000041
39,0.011606,0.000020
40,0.011606,0.000016
41,0.011830,0.000032
42,0.011830,0.000020
43,0.011830,0.000019
44,0.011930,0.000021
45,0.012030,0.000020
46,0.012890,0.000038
47,0.012990,0.000021
48,0.013090,0.000022
49,0.013600,0.000027
50,0.014110,0.000152
51,0.014210,0.000021
52,0.014310,0.000022
53,0.014610,0.000092
54,0.014710,0.000024
55,0.014933,0.000139
56,0.015033,0.000019
57,0.015133,0.000021
58,0.015233,0.000020
59,0.015658,0.000054
60,0.015799,0.000184
61,0.016023,0.000213
62,0.016123,0.000021
63,0.016523,0.000044
64,0.016623,0.000023
65,0.016723,0.000022
66,0.017288,0.000032
67,0.017701,0.000103
68,0.022601,0.000140
69,0.022601,0.000018
70,0.022824,0.000021
71,0.022966,0.000022
72,0.023189,0.000019
73,0.023413,0.000166
74,0.023825,0.000084
75,0.023925,0.000021
76,0.024025,0.000023
77,0.024525,0.000161
78,0.024749,0.000020
79,0.024972,0.000022
80,0.025114,0.000023
81,0.025538,0.000113
82,0.025738,0.000021
83,0.026021,0.000022
84,0.026162,0.000020
85,0.026262,0.000020
86,0.026362,0.000020
87,0.026562,0.000147
88,0.026879,0.000177
89,0.027291,0.000189
90,0.027607,0.000233
91,0.027707,0.000022
92,0.027931,0.000021
93,0.027931,0.000019
94,0.028692,0.000099
95,0.029105,0.000033
96,0.029205,0.000019
97,0.029405,0.000022
98,0.029628,0.000024
99,0.029911,0.000207
100,0.030135,0.000297
101,0.030335,0.000021
102,0.030967,0.000083
103,0.031067,0.000019
104,0.031209,0.000020
105,0.031432,0.000021
106,0.031632,0.000112
107,0.032303,0.000113
108,0.032444,0.000053
109,0.032761,0.000200
110,0.032861,0.000020
111,0.033084,0.000058
112,0.033284,0.000020
113,0.033426,0.000024
114,0.033742,0.000211
115,0.033883,0.000023
116,0.033883,0.000017
117,0.034308,0.000189
118,0.035029,0.000063
119,0.035345,0.000207
120,0.035445,0.000020
121,0.035445,0.000016
122,0.035761,0.000067
123,0.035761,0.000017
124,0.035861,0.000023
125,0.036085,0.000019
126,0.036368,0.000021
127,0.036868,0.000148
128,0.037649,0.000159
129,0.037749,0.000022
130,0.037849,0.000021
131,0.038072,0.000021
132,0.038388,0.000020
133,0.039734,0.000061
134,0.040134,0.000225
135,0.040234,0.000019
136,0.040234,0.000025
137,0.040517,0.000087
138,0.040517,0.000018
139,0.040658,0.000022
140,0.040858,0.000234
141,0.041082,0.000191
142,0.041506,0.000054
143,0.041867,0.000112
144,0.041966,0.000021
145,0.042108,0.000019
146,0.042508,0.000171
147,0.042508,0.000017
148,0.042508,0.000016
149,0.042808,0.000041
150,0.043515,0.000249
151,0.043615,0.000022
152,0.053015,0.000228
153,0.053115,0.000024
154,0.053476,0.000184
155,0.053676,0.000020
156,0.054176,0.000105
157,0.054317,0.000020
158,0.054417,0.000028
159,0.054733,0.000213
160,0.055243,0.000166
161,0.055467,0.000022
162,0.055567,0.000019
163,0.055567,0.000017
164,0.055667,0.000022
165,0.056167,0.000231
166,0.056450,0.000021
167,0.056673,0.000213
168,0.056989,0.000174
169,0.057089,0.000022
170,0.057450,0.000111
171,0.057674,0.000025
172,0.058174,0.000034
173,0.058274,0.000023
174,0.058995,0.000080
175,0.059407,0.000046
176,0.059407,0.000017
177,0.059507,0.000022
178,0.059507,0.000017
179,0.059823,0.000043
180,0.059923,0.000322
181,0.060023,0.000020
182,0.060339,0.000132
183,0.060440,0.000022
184,0.060663,0.000022
185,0.060804,0.000020
186,0.061028,0.000021
187,0.061611,0.000037
188,0.063455,0.000028
189,0.063816,0.000115
190,0.063816,0.000017
191,0.064116,0.000267
192,0.064216,0.000374
193,0.064439,0.000019
194,0.064639,0.000020
195,0.064863,0.000317
196,0.065087,0.000241
197,0.065447,0.000023
