n,cost,run_time
1,0.000583095,2.56705
2,0.000783095,4.85e-06
3,0.000924517,4.32e-06
4,0.00177892,4.16e-06
5,0.00250003,4.38e-06
6,0.00260003,1.036e-05
7,0.00290003,4.08e-06
8,0.00318287,4.99e-06
9,0.00385369,4.27e-06
10,0.00405369,4.32e-06
11,0.00419511,4.47e-06
12,0.00439511,4.391e-06
13,0.00499511,3.89e-06
14,0.00513653,4.39e-06
15,0.0055608,4.28e-06
16,0.00976675,4.15e-06
17,0.0101791,4.44e-06
18,0.0104027,4.911e-06
19,0.0104027,4.2e-06
20,0.010815,4.04e-06
21,0.011015,4.26e-06
22,0.011315,4.36e-06
23,0.011315,4.699e-06
24,0.011715,4.15e-06
25,0.012115,4.06e-06
26,0.012715,4.56e-06
27,0.0129978,4.12e-06
28,0.0131392,4.39e-06
29,0.0134998,4.45e-06
30,0.0144998,4.1e-06
31,0.0146998,3.791e-06
32,0.0151121,4.25e-06
33,0.0160065,4.63e-06
34,0.0188718,4.22e-06
35,0.0215737,4.26e-06
36,0.0220737,4.8e-06
37,0.0220737,4.42e-06
38,0.0220737,4.02e-06
39,0.022486,4.1e-06
40,0.022986,4.22e-06
41,0.0232096,4.16e-06
42,0.0235702,4.4e-06
43,0.0236702,4.19e-06
44,0.0239864,4.77e-06
45,0.0241864,4.56e-06
46,0.0248572,4.26e-06
47,0.0296666,3.63e-06
48,0.0300271,4.47e-06
49,0.0301686,4.43e-06
50,0.0307516,4.41e-06
51,0.0308931,4.65e-06
52,0.0309931,4.44e-06
53,0.0313093,4.23e-06
54,0.0315921,4.8e-06
55,0.032102,4.62e-06
56,0.0322435,4.16e-06
57,0.0337468,3.89e-06
58,0.0341073,4.72e-06
59,0.0344073,4.7e-06
60,0.034631,4.28e-06
61,0.0351695,4.16e-06
62,0.0352695,4.33e-06
63,0.0354695,4.3e-06
64,0.03583,4.45e-06
65,0.0361906,4.67e-06
66,0.0371755,4.55e-06
67,0.038081,4.27e-06
68,0.038181,4.67e-06
69,0.0400249,4.39e-06
70,0.0403411,4.61e-06
71,0.0404826,4.77e-06
72,0.0405826,4.38e-06
73,0.0410925,4.36e-06
74,0.0411925,4.37e-06
75,0.0413339,4.8e-06
76,0.0413339,4.4e-06
77,0.0416944,4.35e-06
78,0.0421068,4.35e-06
79,0.0422068,4.4e-06
80,0.0426191,4.81e-06
81,0.043884,4.31e-06
82,0.0443312,4.47e-06
83,0.0446917,4.16e-06
84,0.0447917,4.22e-06
85,0.0451523,4.55e-06
86,0.0452937,4.889e-06
87,0.0460008,4.53e-06
88,0.0462008,4.84e-06
89,0.0469819,4.42e-06
90,0.0469819,4.77e-06
91,0.0471233,4.529e-06
92,0.0477636,4.34e-06
93,0.0479872,4.46e-06
94,0.0484344,4.58e-06
95,0.048658,4.26e-06
96,0.0490703,4.52e-06
97,0.0497774,4.291e-06
98,0.0497774,4.57e-06
99,0.0500937,4.94e-06
100,0.0503173,4.309e-06
101,0.0503173,4.39e-06
102,0.0504587,4.98e-06
103,0.0504587,4.651e-06
104,0.0522391,4.25e-06
105,0.0523391,4.82e-06
106,0.0529716,4.44e-06
107,0.0533959,4.6e-06
108,0.0534959,4.26e-06
109,0.0534959,5.11e-06
110,0.0538564,4.589e-06
111,0.0542687,4.62e-06
112,0.0544923,4.78e-06
113,0.0546337,4.27e-06
114,0.0557651,4.59e-06
115,0.0558651,4.429e-06
116,0.0561813,4.6e-06
117,0.0593954,4.43e-06
118,0.0594954,4.62e-06
119,0.0594954,4.731e-06
120,0.0598954,4.47e-06
121,0.0600954,4.98e-06
122,0.0602368,4.5e-06
123,0.0608199,4.42e-06
124,0.0613584,4.191e-06
125,0.0614584,4.93e-06
126,0.061682,4.79e-06
127,0.0619982,4.28e-06
128,0.0619982,4.93e-06
129,0.0621397,1.037e-05
130,0.0624559,4.76e-06
131,0.0629559,4.47e-06
132,0.0629559,4.769e-06
133,0.0632721,4.889e-06
134,0.0635884,4.45e-06
135,0.0639489,4.67e-06
136,0.0639489,4.63e-06
137,0.0644588,4.44e-06
138,0.0649687,4.79e-06
139,0.0651687,4.84e-06
140,0.0651687,4.4e-06
141,0.0653101,4.8e-06
142,0.0660312,4.72e-06
143,0.0664312,4.58e-06
144,0.0688664,4.28e-06
145,0.0690664,4.52e-06
146,0.0691664,4.771e-06
147,0.06939,4.54e-06
148,0.06949,4.57e-06
149,0.0698062,4.54e-06
150,0.0706309,4.51e-06
151,0.0706309,4.6e-06
152,0.0708545,4.64e-06
153,0.0715253,4.31e-06
154,0.0719495,4.64e-06
155,0.0721732,4.76e-06
156,0.0730787,4.47e-06
157,0.0732201,4.29e-06
158,0.0733615,4.45e-06
159,0.0740018,4.22e-06
160,0.0744142,4.639e-06
161,0.0747304,4.83e-06
162,0.0748304,4.36e-06
163,0.0751132,4.32e-06
164,0.0751132,4.56e-06
165,0.0757535,4.6e-06
166,0.0766021,4.58e-06
167,0.0768849,4.74e-06
168,0.0771085,4.72e-06
169,0.0771085,4.72e-06
170,0.0771085,5e-06
171,0.0772499,4.62e-06
172,0.0779711,4.46e-06
173,0.0780711,4.81e-06
174,0.0789255,4.709e-06
175,0.0792417,4.459e-06
176,0.0794417,4.86e-06
177,0.0802033,4.32e-06
178,0.0806156,4.52e-06
179,0.0807156,4.27e-06
180,0.080857,4.48e-06
181,0.0810806,4.61e-06
182,0.0814929,4.569e-06
183,0.0821332,4.53e-06
184,0.0830332,4.41e-06
185,0.0836332,4.46e-06
186,0.0838332,4.54e-06
187,0.0847332,4.471e-06
188,0.0850938,4.89e-06
189,0.0853766,4.36e-06
190,0.0858534,9.42e-06
191,0.086077,4.76e-06
192,0.0867095,4.5e-06
193,0.0870257,4.7e-06
194,0.0870257,5.11e-06
195,0.0873419,4.46e-06
196,0.0874833,4.73e-06
197,0.0879076,4.63e-06
198,0.0882682,4.52e-06
199,0.0897104,4.38e-06
200,0.0899104,4.62e-06
201,0.0899104,4.61e-06
202,0.0900518,4.64e-06
