n,cost,run_time
1,0.0015,2.4797
2,0.00178284,4.711e-06
3,0.00198284,4.539e-06
4,0.00198284,4.31e-06
5,0.00220645,4.7e-06
6,0.00248929,4.09e-06
7,0.00248929,4.08e-06
8,0.00268929,4.11e-06
9,0.00268929,4.56e-06
10,0.00298929,4.049e-06
11,0.0032129,4.3e-06
12,0.00343651,4.16e-06
13,0.00400219,4.14e-06
14,0.0047302,4.26e-06
15,0.00501304,4.43e-06
16,0.00515447,4.111e-06
17,0.00529589,4.45e-06
18,0.00529589,4.53e-06
19,0.00551949,4.37e-06
20,0.0057431,4.109e-06
21,0.0058431,4.339e-06
22,0.00606671,4.27e-06
23,0.00673753,4.17e-06
24,0.00709808,4.16e-06
25,0.00745864,4.5e-06
26,0.00823966,4.28e-06
27,0.00843966,4.58e-06
28,0.00893966,4.43e-06
29,0.0100167,4.34e-06
30,0.0105266,4.24e-06
31,0.0110365,4.04e-06
32,0.0112365,4.19e-06
33,0.0112365,4.74e-06
34,0.0115527,4.67e-06
35,0.011965,4.14e-06
36,0.012887,4.329e-06
37,0.0132475,4.5e-06
38,0.0147608,4.05e-06
39,0.0150771,4.32e-06
40,0.0150771,4.51e-06
41,0.0152771,4.45e-06
42,0.0153771,4.17e-06
43,0.0156933,4.08e-06
44,0.0157933,4.45e-06
45,0.0160761,4.39e-06
46,0.0162761,4.41e-06
47,0.0164761,4.42e-06
48,0.0166175,4.34e-06
49,0.0171175,4.39e-06
50,0.0172175,4.9e-06
51,0.0172175,4.419e-06
52,0.0173175,4.58e-06
53,0.0176338,4.179e-06
54,0.0179943,4.45e-06
55,0.0182772,4.49e-06
56,0.0186895,4.21e-06
57,0.0192978,4.2e-06
58,0.019614,4.04e-06
59,0.019714,4.53e-06
60,0.0200745,4.22e-06
61,0.0200745,4.66e-06
62,0.0203574,4.25e-06
63,0.0204574,4.55e-06
64,0.0208697,4.52e-06
65,0.0215405,4.62e-06
66,0.0217641,4.74e-06
67,0.022047,4.55e-06
68,0.022147,4.33e-06
69,0.0224632,4.69e-06
70,0.0224632,4.77e-06
71,0.0226046,4.67e-06
72,0.0228282,4.5e-06
73,0.0229282,4.26e-06
74,0.0234381,4.53e-06
75,0.0235795,4.65e-06
76,0.0237795,4.47e-06
77,0.0237795,4.44e-06
78,0.023921,4.46e-06
79,0.0240624,4.51e-06
80,0.0240624,4.571e-06
81,0.0240624,4.78e-06
82,0.0251804,4.41e-06
83,0.0253804,4.62e-06
84,0.0258047,4.62e-06
85,0.0258047,4.339e-06
86,0.0259047,4.13e-06
87,0.0259047,4.151e-06
88,0.0260047,4.41e-06
89,0.0262047,9.7769e-05
90,0.0264875,4.37e-06
91,0.0267875,4.72e-06
92,0.0274278,4.37e-06
93,0.0276514,4.61e-06
94,0.0277514,4.78e-06
95,0.027975,4.33e-06
96,0.0281165,4.56e-06
97,0.0282579,4.55e-06
98,0.0286822,4.51e-06
99,0.0290945,4.52e-06
100,0.0291945,4.33e-06
101,0.0292945,4.67e-06
102,0.0296945,4.26e-06
103,0.0299773,4.499e-06
104,0.030543,4.37e-06
105,0.0306844,4.81e-06
106,0.0311943,4.629e-06
107,0.03176,4.64e-06
108,0.0319014,4.76e-06
109,0.0320014,4.45e-06
110,0.0321428,4.45e-06
111,0.0324428,4.329e-06
112,0.0327591,5.36e-06
113,0.0329827,4.87e-06
114,0.0339046,4.37e-06
115,0.0343518,4.119e-06
116,0.0348618,4.37e-06
117,0.035178,4.28e-06
118,0.0355385,5.17e-06
119,0.0355385,5.11e-06
120,0.0362094,4.65e-06
121,0.0368802,4.529e-06
122,0.0369802,4.68e-06
123,0.0371216,4.72e-06
124,0.0374822,4.85e-06
125,0.0376236,4.29e-06
126,0.0381236,4.93e-06
127,0.0383236,4.489e-06
128,0.0390447,4.22e-06
129,0.0391447,4.85e-06
130,0.0392447,4.8e-06
131,0.0395447,4.21e-06
132,0.0395447,4.7e-06
