num_requests_matched,cost,execution_time
200,7347.09033203125,0.4255544780753553
400,14931.6865234375,0.24400167912244797
600,22200.828125,0.24550347495824099
800,29838.767578125,0.2809337223879993
1000,37514.9453125,0.34714440256357193
1200,45277.05078125,0.6497954013757408
1400,52775.390625,0.4597493470646441
1600,60576.03515625,1.0461997026577592
1800,68628.15625,0.3083725576288998
2000,76497.515625,0.329182808753103
2200,84259.375,0.37306910241022706
2400,92317.859375,0.4135910798795521
2600,100073.515625,0.4690421102568507
2800,107638.171875,0.44166827388107777
3000,115546.75,0.5399129865691066
3200,123189.171875,0.48742970917373896
3400,131030.7578125,0.626830218359828
3600,138377.515625,0.6840032520703971
3800,146756.34375,0.6290832827799022
4000,154799.46875,0.8491557240486145
4200,162506.34375,0.8391878521069884
4400,170865.84375,0.7585558011196554
4600,179166.8125,0.8617679458111525
4800,187317.46875,0.8448340543545783
5000,195346.328125,0.9250343241728842
5200,203871.96875,1.156310467980802
5400,212066.90625,1.0153150642290711
5600,220590.25,1.4089736239984632
5800,228991.9375,1.2135073938407004
6000,237566.484375,1.4219674617052078
6200,246212.34375,1.5574825960211456
6400,254321.8125,1.5939732701517642
6600,262983.375,1.6936883009038866
6800,271442.28125,1.8371977098286152
7000,279661.5625,2.144896898418665
7200,288230.0,2.1137355752289295
7400,296852.75,2.1931486218236387
7600,305982.75,2.7395558208227158
7800,314733.78125,2.7196475719101727
8000,323279.125,2.9526188201270998
8200,332399.46875,3.8125896640121937
8400,340811.625,3.8347304542548954
8600,349747.5625,4.784294450189918
8800,358655.125,5.482780518941581
9000,368810.875,6.227822809014469
9200,378737.6875,11.228207773063332
9400,389126.71875,16.781769071239978
9600,400878.8125,30.15030904021114
9800,412320.5,35.02735079312697
10000,428571.08780670166,33.09219351876527
