num_requests_matched,cost,execution_time
200,7745.04296875,0.4867815780453384
400,15453.435546875,0.21615684404969215
600,22690.490234375,0.2678950857371092
800,30293.75,0.34676066413521767
1000,37780.609375,0.3579031671397388
1200,45253.03125,0.3670865870080888
1400,52714.8203125,0.43518383614718914
1600,60261.046875,0.5800791811197996
1800,67966.1953125,0.6748400665819645
2000,75536.90625,0.5458855922333896
2200,83411.671875,0.7601245418190956
2400,91126.6875,0.7104719672352076
2600,98962.828125,0.737091233022511
2800,106971.5,0.8870479059405625
3000,114359.96875,1.048341556917876
3200,122137.90625,2.069561944808811
3400,130416.8671875,0.6017598058097064
3600,138335.734375,0.7178725488483906
3800,147033.3125,0.7037065988406539
4000,155207.0,0.7095014653168619
4200,162721.015625,0.6988462149165571
4400,171715.1875,0.8477371181361377
4600,180263.6875,0.9024636931717396
4800,188493.46875,0.9798304699361324
5000,197103.609375,0.9570486121810973
5200,205703.21875,1.0214851591736078
5400,214303.75,1.112500831950456
5600,222909.46875,1.1657275739125907
5800,231605.9375,1.1852559209801257
6000,240216.796875,1.4680479089729488
6200,248634.40625,1.333404672332108
6400,256797.65625,1.665269086137414
6600,265202.375,1.6473050531931221
6800,273985.9375,1.8923672423698008
7000,282975.875,1.7809663251973689
7200,291851.84375,2.427071716170758
7400,299996.40625,2.5231310171075165
7600,308743.96875,2.7185841747559607
7800,318187.59375,3.0370188588276505
8000,327417.71875,3.214727618265897
8200,336112.5625,2.9397289771586657
8400,345293.3125,3.642753222025931
8600,354449.125,4.182421374134719
8800,364343.9375,6.235550575889647
9000,374482.4375,8.728986775036901
9200,385437.25,8.874009736813605
9400,395856.34375,11.956059486139566
9600,406479.0,17.555823287926614
9800,417827.0625,28.799746946897358
10000,432915.04527282715,25.212540534790605
