num_requests_matched,cost,execution_time
1,0.0,0.2217795659962576
2,394.1090087890625,0.01219863400910981
3,504.92401123046875,0.011210102995391935
4,714.4020080566406,0.011468828015495092
5,714.4020080566406,0.011147763987537473
6,714.4020080566406,0.01109002498560585
7,1268.8780212402344,0.011096175003331155
8,1367.629020690918,0.011021455022273585
9,1796.5290145874023,0.011107725003967062
10,2089.952018737793,0.011090684973169118
11,2235.1860122680664,0.010997486999258399
12,2311.605010986328,0.011050284985685721
13,2311.605010986328,0.011093934997916222
14,2864.279998779297,0.010992646013619378
15,2957.088996887207,0.010971747018629685
16,3234.78800201416,0.011265570996329188
17,3234.78800201416,0.011032236012397334
18,3469.724998474121,0.010987236018991098
19,3475.7719984054565,0.011022915976354852
20,3597.5239973068237,0.011069884989410639
21,3761.3039960861206,0.010974367003655061
22,3993.2499952316284,0.011059434997150674
23,4300.510004997253,0.011028146021999419
24,4313.0490045547485,0.01116024301154539
25,4487.0340051651,0.011023816012311727
26,4487.0340051651,0.011080065014539286
27,4494.293004989624,0.011152774008223787
28,4760.030004501343,0.011031836009351537
29,5339.9130001068115,0.011189862998435274
30,5486.590993881226,0.011093066015746444
31,6155.520009994507,0.011096825008280575
32,6155.520009994507,0.01099762599915266
33,6260.165006637573,0.011177612992469221
34,6387.421003341675,0.011094175017205998
35,7373.095991134644,0.01106691500172019
36,7590.734998703003,0.011039325007004663
37,7604.339998245239,0.011132674000691622
38,7721.385995864868,0.011145864002173766
39,8030.857004165649,0.011011865979526192
40,8267.284997940063,0.011078604991780594
41,8267.284997940063,0.011133113992400467
42,8327.682996749878,0.011087604972999543
43,8339.206996917725,0.011237792001338676
44,8349.459997177124,0.011110783991171047
45,8349.459997177124,0.011029255983885378
46,8410.327997207642,0.01098884700331837
47,8410.327997207642,0.011019116005627438
48,8425.923996925354,0.011017456999979913
49,8425.923996925354,0.01097254699561745
50,8636.278000831604,0.01109139499021694
51,8636.278000831604,0.011041525984182954
52,8772.352005958557,0.011041396006476134
53,8803.172005653381,0.011226313014049083
54,9151.126015663147,0.011026635998860002
55,9362.800011634827,0.011045395018300042
56,9478.858010292053,0.011093195003923029
57,9518.391011238098,0.011354618996847421
58,9639.41701221466,0.011012995993951336
59,10262.698994636536,0.011085404985351488
60,10341.475995063782,0.011018955992767587
61,10341.475995063782,0.011033046001102775
62,10341.475995063782,0.011071225017076358
63,11183.744000434875,0.011049724998883903
64,11183.744000434875,0.01107418499304913
65,11779.725018501282,0.0110114160052035
66,12107.152020454407,0.011032015987439081
67,12118.574020385742,0.011002965999068692
68,12412.943008422852,0.010993956995662302
69,12412.943008422852,0.011024617007933557
70,12440.117008209229,0.011063585989177227
71,12455.257008552551,0.011124334996566176
72,13055.903981208801,0.011022167018381879
73,13055.903981208801,0.011090015002992004
74,13055.903981208801,0.010989476984832436
75,13055.903981208801,0.010984176013153046
76,13055.903981208801,0.01099076701211743
77,13175.378979682922,0.011179433990037069
78,13383.205975532532,0.011040685989428312
79,13878.821972846985,0.010980557010043412
80,14085.166974067688,0.011018105986295268
81,14103.87097454071,0.010689112008549273
82,14103.87097454071,0.011037226009648293
83,14134.84297466278,0.0110903849999886
84,14148.763974189758,0.011043425998650491
85,14313.656979560852,0.011156583001138642
86,14332.676980018616,0.01105092599755153
87,14387.814980506897,0.01135196999530308
88,14455.310982704163,0.011096894013462588
89,14963.712990760803,0.011028665991034359
