num_requests_matched,cost,execution_time
200,32467.719931602478,3.101240054995287
400,65107.44303226471,0.36185770703013986
600,98045.03695344925,0.5867966159712523
800,131806.08824300766,0.8993232680368237
1000,171730.98624753952,0.44066458800807595
1200,201392.5060992241,0.3736652579973452
1400,238529.71017503738,0.38555879500927404
1600,276727.3460884094,0.6599001300055534
1800,315043.68983221054,0.5924725949880667
2000,358970.31789159775,0.5564266360015608
2200,403319.6426510811,0.770965175004676
2400,443379.09230184555,0.8174425640027039
2600,481389.0423254967,0.8513092250213958
2800,522785.4153108597,1.5529774239985272
3000,568258.9242396355,1.3157214050297625
3200,614637.2948698997,1.3640140669886023
3400,658219.4379234314,1.4164172019809484
3600,713868.5187821388,1.9230852730106562
3800,758633.0320591927,1.0024676460307091
4000,806143.0527472496,1.565470102999825
4200,859909.876689434,2.3017039700062014
4400,914277.7747211456,2.849957954022102
4600,971609.6007986069,1.831512507982552
4800,1036246.2090682983,4.226923290989362
5000,1095464.3741431236,2.75974662497174
5200,1153025.4614801407,3.3537140960106626
5400,1225243.3284420967,3.3964895859826356
5600,1301144.266541481,5.786453177977819
5800,1376762.9017338753,5.140850304043852
6000,1454687.5770697594,9.067781962978188
6200,1505806.2155780792,11.104977985960431
6400,1594317.7344402075,2.7107585149933584
6600,1678987.3998736143,4.119762188987806
6800,1777612.58474195,4.64935909997439
7000,1884287.758927226,4.16354409098858
7200,1991354.3907164335,9.66342448501382
7400,2112201.3643050194,6.722578464017715
7600,2228170.3162493706,8.480134395009372
7800,2354261.2881736755,15.162594700988848
8000,2501445.7590031624,8.405639742035419
8200,2627825.8296518326,11.555815051018726
8400,2795509.6393084526,13.893027541984338
8600,2957813.8124980927,26.17187287803972
8800,3167580.899322033,29.957585901021957
9000,3372314.1619119644,33.64382670103805
9200,3540994.8018021584,87.31783810199704
9400,3848372.3351647854,49.87681506504305
9600,4207451.190320969,64.26756091497373
9800,5028415.419250965,0.7417819669935852
10000,7091434.899227619,0.8257508520036936
